nodes	start	end	len
18	2335	2789	454
18	6196	6472	276
18	18693	18914	221
20	17679	18188	509
20	13112	13389	277
20	10868	11324	456
20	6185	7949	1764
20	2333	3267	934
20	8845	9877	1032
21	3710	4768	1058
23	1164	1277	113
23	3422	4498	1076
23	15299	15761	462
23	16392	16471	79
24	19457	19999	542
24	2340	2794	454
24	0	582	582
24	17601	18053	452
24	5585	6098	513
25	10799	11322	523
25	13122	13413	291
25	14998	15968	970
26	6977	7966	989
pop1.23	19439	19999	560
pop1.23	7177	9550	2373
pop1.23	280	639	359
pop2.17	3405	4498	1093
pop2.17	14296	15834	1538
