13 RECENT RECOMBINATION EVENTS
Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
295       631       4               2                85.2       pop1.23
7005      9585      4               2                308.6      pop1.23
19452     20000     4               2                102.3      pop1.23
1183      1250      2               6                21.3       pop2.17
3349      4366      3               6                160.0      pop2.17
4367      4494      4               6                52.0       pop2.17
14297     15813     4               6                234.0      pop2.17
2345      3348      2               10               158.5      pop3.6
6180      9857      1               10               237.7      pop3.6
10888     11319     1               10               68.1       pop3.6
13128     13389     1               10               73.7       pop3.6
17594     18285     2               10               95.4       pop3.6
2356      3348      2               11               156.9      pop3.13
6180      9857      1               11               237.7      pop3.13
10888     11319     1               11               68.1       pop3.13
13128     13400     1               11               75.9       pop3.13
17594     18285     2               11               95.4       pop3.13
2356      3348      2               12               155.6      pop3.29
6180      9857      1               12               235.9      pop3.29
10888     11319     1               12               67.4       pop3.29
13130     13389     1               12               73.2       pop3.29
17594     18285     2               12               94.4       pop3.29
18699     18886     2               13               36.9       pop3.30
18725     18886     2               14               30.1       pop3.15
18725     18886     2               15               30.1       pop3.8
