Node	Beg	End
2979	19845	19977
4801	19863	19989
4946	19843	19986
5108	19843	19986
5108	1926471	1926549
5108	2014321	2014326
5108	2179476	2179526
5108	2480108	2480266
2821	4041	4270
2821	5208	5526
2821	11451	12231
2821	12915	13338
2821	19858	19989
2821	22347	22716
2821	24351	25947
2821	26796	28653
2821	64631	65040
2821	67956	68916
2821	69609	69975
2821	73896	78750
2821	81660	82308
2821	82713	83488
2821	85125	85794
2821	86373	92088
2821	93126	93303
2821	95544	97935
2821	112308	112971
2821	113620	113883
2821	119790	119896
2821	120895	121155
2821	122973	123729
2821	130629	130760
2821	134773	135267
2821	136985	137477
2821	140692	140821
2821	150685	150871
2821	151312	151494
2821	168337	168418
2821	171571	171922
2821	176899	177973
2821	192678	193391
2821	199480	200993
2821	201581	201969
2821	209336	209635
2821	210614	211797
2821	212081	212755
2821	213473	214385
2821	215457	215954
2821	217263	217400
2821	240686	240977
2821	241823	244964
2821	265208	265457
2821	266043	266516
2821	273371	273476
2821	275472	275973
2821	280095	280484
2821	284864	286229
2821	286580	287447
2821	289483	290183
2821	294722	294836
2821	301079	301266
2821	316145	316423
2821	317252	317678
2821	328113	328389
2821	330317	330791
2821	331808	332481
2821	337155	337722
2821	338673	338799
2821	339327	340176
2821	341496	342945
2821	345687	346037
2821	346597	346620
2821	346896	347040
2821	353019	353115
2821	357141	357606
2821	390751	391076
2821	392591	393739
2821	395144	396494
2821	397558	398017
2821	404110	405646
2821	411130	413467
2821	414187	414449
2821	416623	417440
2821	423766	424744
2821	429382	430023
2821	431923	431962
2821	432467	432688
2821	434244	434632
2821	438601	438997
2821	447976	449757
2821	477901	478066
2821	485419	486631
2821	490694	490783
2821	497335	497681
2821	507205	507916
2821	519607	519754
2821	523550	524772
2821	531961	532504
2821	533617	533836
2821	534706	535117
2821	538639	540415
2821	541795	542005
2821	542977	543131
2821	552535	552751
2821	553720	554203
2821	556252	557284
2821	565254	565489
2821	586736	586880
2821	587628	587695
2821	593068	594126
2821	597445	598411
2821	598816	600386
2821	600962	601210
2821	602800	603978
2821	609196	609562
2821	617836	622879
2821	624658	625378
2821	635113	635536
2821	644161	644845
2821	648418	649729
2821	654892	655615
2821	659815	660361
2821	661718	663397
2821	668089	668614
2821	673079	673333
2821	675250	675646
2821	678037	678337
2821	683071	683707
2821	684181	684337
2821	692001	692205
2821	697762	699445
2821	701116	701608
2821	707842	707899
2821	710395	710714
2821	716110	717322
2821	747877	748258
2821	778819	778945
2821	780271	781729
2821	790072	790695
2821	793825	794482
2821	794782	796171
2821	796567	797192
2821	797537	798028
2821	801574	801625
2821	806090	806713
2821	809548	809791
2821	816532	816643
2821	817798	818713
2821	828182	828221
2821	828636	828746
2821	831766	832486
2821	833368	833895
2821	839686	839764
2821	845053	845560
2821	848503	848821
2821	849464	850200
2821	855727	856257
2821	860819	860971
2821	887989	888553
2821	894340	894991
2821	897208	899050
2821	903031	903475
2821	914995	917283
2821	918796	920068
2821	921691	922846
2821	924181	925027
2821	927751	927808
2821	928993	930106
2821	942073	942853
2821	945263	945388
2821	961673	962785
2821	971918	972227
2821	974102	974279
2821	978662	978924
2821	979402	979748
2821	981842	982214
2821	983973	984068
2821	1004091	1004771
2821	1010049	1010204
2821	1011371	1011962
2821	1012481	1013060
2821	1022547	1022906
2821	1023311	1024013
2821	1029090	1029824
2821	1031333	1031657
2821	1043900	1044176
2821	1061923	1062716
2821	1074884	1076921
2821	1098215	1099964
2821	1110554	1110814
2821	1114264	1114970
2821	1119476	1119857
2821	1120682	1120811
2821	1135007	1135481
2821	1136408	1137235
2821	1138895	1138976
2821	1141722	1142246
2821	1143326	1143765
2821	1147505	1148449
2821	1148870	1148972
2821	1153687	1153964
2821	1159943	1161195
2821	1164395	1164803
2821	1168634	1168881
2821	1177259	1177847
2821	1187243	1187462
2821	1209533	1211776
2821	1212657	1213729
2821	1215305	1217378
2821	1247114	1248368
2821	1259633	1260020
2821	1290074	1290377
2821	1298949	1299020
2821	1339020	1341105
2821	1345176	1346028
2821	1346608	1346837
2821	1373518	1373997
2821	1382319	1382388
2821	1385538	1385778
2821	1388349	1392225
2821	1393795	1394283
2821	1395429	1396311
2821	1398058	1400193
2821	1409088	1410598
2821	1415422	1415584
2821	1417479	1417642
2821	1429966	1430617
2821	1431946	1432039
2821	1434338	1436572
2821	1437649	1438265
2821	1441904	1442243
2821	1475594	1476485
2821	1477627	1477990
2821	1488682	1488791
2821	1497397	1497412
2821	1501372	1501648
2821	1516921	1517503
2821	1522640	1523950
2821	1529045	1529222
2821	1529729	1530158
2821	1531202	1531433
2821	1537275	1537481
2821	1542239	1543220
2821	1550957	1551251
2821	1568178	1569381
2821	1571008	1571079
2821	1587249	1587516
2821	1587852	1589277
2821	1591903	1593798
2821	1594879	1595505
2821	1599739	1600439
2821	1611034	1611268
2821	1612258	1612921
2821	1616149	1616402
2821	1620046	1620116
2821	1621226	1621432
2821	1651432	1653391
2821	1657009	1657174
2821	1658629	1658908
2821	1666103	1666572
2821	1681063	1681401
2821	1682320	1682794
2821	1731425	1731989
2821	1753562	1753603
2821	1756721	1756983
2821	1761118	1761178
2821	1762270	1762583
2821	1764151	1764352
2821	1775890	1775907
2821	1869514	1869736
2821	1953953	1955106
2821	1964461	1964577
2821	1981498	1981561
2821	1999162	1999309
2821	2001322	2001604
2821	2044981	2045327
2821	2068268	2068345
2821	2081605	2082031
2821	2082631	2084032
2821	2085469	2085961
2821	2091265	2091505
2821	2117974	2118658
2821	2122528	2122567
2821	2142183	2142356
