Node		Beg		End
S38		742773		742791
S38		1011535	1011543
S38		2657370	2657377
S78		87951		87964
NODE_17	75262		75291
NODE_20	75182		75199
NODE_20	87846		87869
NODE_20	2109139	2109352
NODE_20	2110242	2111457
NODE_20	2113091	2113541
NODE_20	2116532	2116790
NODE_20	2118185	2119058
NODE_20	2125662	2125991
NODE_20	2132367	2132712
NODE_20	2134016	2135354
NODE_20	2135808	2135841
NODE_20	2138296	2138317
NODE_20	2145233	2145781
NODE_20	2149259	2149610
NODE_20	2979301	2979306
NODE_22	684115		684187
NODE_22	688483		688501
NODE_22	2942026	2942062
NODE_23	60744		60840
NODE_23	67178		67184
NODE_23	74878		75239
NODE_23	87661		88284
NODE_25	2828672	2828714
