nodes	start	end	len
11	2496952	2497934	982
11	2569180	2569298	118
11	2572379	2572872	493
11	2616617	2617075	458
11	2625026	2626347	1321
11	2815985	2817944	1959
11	2889409	2890070	661
11	3105109	3105307	198
11	3109170	3110628	1458
11	3131081	3131382	301
11	3343408	3344097	689
11	3347291	3348500	1209
11	3426217	3426661	444
11	3429807	3430947	1140
11	3443246	3443860	614
11	3487761	3487981	220
11	3509853	3510156	303
11	3558500	3558804	304
11	3575464	3577672	2208
11	3627759	3628295	536
11	3649219	3649771	552
11	3655061	3656840	1779
11	3685336	3686091	755
11	3763593	3764305	712
11	3774061	3774784	723
11	3854440	3854993	553
11	3959484	3959698	214
11	4026851	4029693	2842
11	4030612	4030941	329
11	4128230	4128527	297
11	2556545	2562081	5536
11	177194	177693	499
11	3893362	3894285	923
11	330359	330646	287
11	312054	312563	509
11	2470653	2472233	1580
11	2297897	2300380	2483
11	2216228	2216906	678
11	2170828	2171403	575
11	1957537	1958225	688
11	1810612	1811626	1014
11	1807658	1808822	1164
11	1731559	1731952	393
11	1593960	1594440	480
11	1387938	1389037	1099
11	1379182	1379628	446
11	1374737	1375385	648
11	1254799	1254920	121
11	1210757	1211056	299
11	2492365	2493098	733
11	1141587	1143081	1494
11	1203394	1205563	2169
11	338468	339019	551
11	391984	393759	1775
11	438709	448147	9438
11	481020	481373	353
11	332570	334078	1508
11	532724	533326	602
11	631339	631639	300
11	672387	672601	214
11	675176	675324	148
11	703257	703467	210
11	936264	937175	911
11	1014131	1014445	314
11	552425	552640	215
12	3347842	3348191	349
12	2171059	2172484	1425
12	311357	311747	390
12	312058	312516	458
12	1045235	1045537	302
13	1666097	1666924	827
13	1952623	1954793	2170
13	2083183	2086100	2917
13	2204631	2215881	11250
13	2223134	2223654	520
13	2270079	2272168	2089
13	2369510	2370625	1115
13	1594605	1600753	6148
13	2312966	2315602	2636
13	2439619	2441059	1440
13	3041464	3048285	6821
13	2593615	2599189	5574
13	2735903	2737188	1285
13	2738982	2742352	3370
13	2779517	2784337	4820
13	2803470	2805211	1741
13	2825372	2829283	3911
13	2888026	2890217	2191
13	1542476	1543387	911
13	3096562	3097250	688
13	3227334	3227835	501
13	3424857	3425245	388
13	2496938	2497940	1002
13	1533730	1535257	1527
13	663071	665065	1994
13	1385596	1401766	16170
13	3507956	3510046	2090
13	24260	28979	4719
13	47705	48909	1204
13	74499	77753	3254
13	81580	95025	13445
13	202080	204486	2406
13	207733	209589	1856
13	394711	396236	1525
13	485440	486329	889
13	531909	532523	614
13	1435070	1437343	2273
13	592844	594711	1867
13	617401	621871	4470
13	624698	625395	697
13	648649	649390	741
13	848759	850146	1387
13	915923	920468	4545
13	961710	967715	6005
13	1097810	1100070	2260
13	1110943	1111672	729
13	1211078	1214029	2951
13	1244680	1245066	386
13	608893	610088	1195
13	420758	426132	5374
13	3520806	3521561	755
13	3780154	3781521	1367
13	4043460	4045632	2172
13	3598938	3599127	189
13	3890178	3890680	502
13	4036129	4040252	4123
14	311266	311752	486
14	3940420	3948582	8162
14	3888892	3889201	309
14	3407016	3408039	1023
14	3347845	3348266	421
14	202874	203906	1032
14	2801641	2804792	3151
14	2046108	2046633	525
14	3271137	3271648	511
14	1524597	1525284	687
14	1544266	1544656	390
14	312062	312492	430
14	316428	316724	296
14	630900	631206	306
14	3076764	3077294	530
14	982246	982550	304
14	1045236	1045532	296
14	828249	828665	416
15	2046108	2046633	525
15	3888892	3889201	309
15	3407016	3408039	1023
15	3347845	3348266	421
15	3271137	3271648	511
15	3076764	3077294	530
15	2801641	2804792	3151
15	3940420	3948582	8162
15	1544266	1544656	390
15	1045236	1045532	296
15	982246	982550	304
15	828249	828665	416
15	630900	631206	306
15	316428	316724	296
15	312062	312492	430
15	311266	311752	486
15	202874	203906	1032
15	1524597	1525284	687
16	3076764	3077294	530
16	3940420	3948582	8162
16	3271137	3271648	511
16	3407016	3408039	1023
16	3347845	3348266	421
16	2801641	2804792	3151
16	3888892	3889201	309
16	2046108	2046633	525
16	828249	828665	416
16	1524597	1525284	687
16	1045236	1045532	296
16	982246	982550	304
16	630900	631206	306
16	316428	316724	296
16	312062	312492	430
16	311266	311752	486
16	202874	203906	1032
16	1544266	1544656	390
17	19846	19967	121
18	19844	19967	123
2821	3638307	3640076	1769
2821	1209806	1211793	1987
2821	1159482	1161202	1720
2821	1143367	1143779	412
2821	1061910	1062728	818
2821	1029235	1029804	569
2821	849436	851152	1716
2821	697793	698998	1205
