RECOMBINATIONS IN LINEAGES
Start     End       Lineage1        Lineage2         log(BF)
2168      2971      3               1                35.0      
2972      4546      2               1                90.3      
5057      5424      2               1                19.0      
8807      10165     2               1                70.1      
14506     15846     3               1                67.4      
285       615       3               2                14.0      
5457      6481      3               2                58.4      
7174      8470      3               2                75.6      
13865     14505     3               2                33.7      
19422     20000     3               2                26.7      
